name,city,phone,postal code,street,region,website,email,country,zone
Pedal & Pump,Darien,(203) 655-2600,6820,51 Tokeneke Road,CT,,,USA,USA
Berlin Bicycle & Repair Shop,East Berlin,(860) 828-1132,6023,855 Mill Street,CT,,,USA,USA
Bikes & Moore,Hopkinsville,(270) 885-0613,42240,200 Sivley Road,KY,,,USA,USA
Xtreme Bike & Sport,Independence,(620) 331-7777,67301,204 N Penn Ave,KS,,,USA,USA
M & M Cyclery,Mundelein,(847) 362-2451,60060,734 South Butterfield Road,IL,,,USA,USA
Tree Fort Bike & Board,Ypsilanti Township,(734) 484-9999,48197,1866 Whittaker Road,MI,,,USA,USA
American Cycle & Fitness,Grosse Pte Woods,(313) 879-5639,48236,20343 Mack Avenue,MI,,,USA,USA
KLM Bike & Fitness,Rochester Hills,(248) 299-0456,48307,2680 South Rochester Road,MI,,,USA,USA
Now Bikes & Fitnes,Arden Hills,(651) 490-7709,55126,3673 Lexington Avenue North,MN,,,USA,USA
Summit Bike & Ski,Bozeman,(406) 587-1064,59715,26 South Grand Avenue,MT,,,USA,USA
Ride Brooklyn Bike & Board,Brooklyn,(718) 857-5283,11217,229 Flatbush Avenue,NY,,,USA,USA
Sleepy Hollow Bicycle & Sport,Tarrytown,(914) 631-3135,10591,95 Beekman Avenue,NY,,,USA,USA
R&A Cycles,Brooklyn,(718) 636-5242,11217,105 5th Avenue,NY,,,USA,USA
Piche's Ski & Sport Shop,Gilford,(603) 524-2068,3249,318 Gilford Ave,NE,,,USA,USA
S&W Sports,Concord,(603) 228-1441,3301,296 South Main Street,NE,,,USA,USA
Revolution Cyclery & Sport Shop,Concord,(603) 224-8600,3301,24 Pleasant St,NE,,,USA,USA
Kearney Cycling & Fitness,Kearney,(308) 234-3822,68847,2216 Central Avenue,NE,,,USA,USA
Saturday Bike & Run,Rock Hill,(803) 329-2453,29730,153 East White Street,SC,,,USA,USA
Center For Cycling & Fitness,Columbia,(803) 256-0557,29205,1001 Harden Street,SC,,,USA,USA
Country Ski & Sports,Montoursville,(570) 368-1718,17754,836 Broad Street,PA,,,USA,USA
Murfreesboro Outdoor & Bicycle,Murfreesboro,(615) 893-7725,37130,310 North Maple Street,TN,,,USA,USA
Tailwind Cycles & Multisport,Fort Mill,(803) 554-4730,29708,1646 Hwy 160 W Suite 104-D,SC,,,USA,USA
Wheeler & Rathke,Portland,(503) 231-4888,97214,2005 SE 8th Ave,OR,,,USA,USA
Cycle Sport & Tri,Loveland,(513) 683-0550,45140,10657 Loveland Madeira Rd.,OH,,,USA,USA
Fat Frogs Bike & Fitness,Virginia Beach,(757) 427-9488,23456,"Suite 232, 1169 Nimmo Parkway",VA,,,USA,USA
Plano Cycling & Fitness,Plano,(972) 423-4130,75074,605 18th Street,TX,,,USA,USA
Wheel & Sprocket,Delafield,(262) 646-6300,53018,528 Wells Street,WI,,,USA,USA
Extreme Ski & Bike,Thiensville,(262) 242-1442,53092,235 North Main Street,WI,,,USA,USA
Art Doyle's Spokes & Pedals Bicycle Shop,Hudson,(715) 386-8500,54016,607 2nd Street,WI,,,USA,USA
Wheel & Sprocket,Hales Corners,(414) 529-6600,53130,5722 South 108th Street,WI,,,USA,USA
Williamson Bicycle Works & Fitness,Madison,(608) 255-5292,53703,640 W Washington Ave,WI,,,USA,USA
SLC Bicycle Co,Salt Lake City,(801) 746-8366,84111,177 East 200 South,UT,,,USA,USA
Rock On Wheels,Cheyenne,,82001,900 East Lincoln Way,WY,,,USA,USA
Altitude Cycle,Vernal,(435) 781-2595,84078,580 East Main Street,UT,,,USA,USA
Sedona Bike And Bean,Sedona,(928) 284-0210,86351,6020 Arizona 179,AZ,,,USA,USA
Madison Cycles Inc.,Madison,(256) 461-9963,35758,8760 Madison Blvd # U,AL,,,USA,USA
Cahaba Cycles,Vestavia Hills,(205) 967-2003,35243,3179 Cahaba Heights Road # 101,AL,,,USA,USA
Bob's Bikes Inc,Birmingham,(205) 879-2258,35209,1944 28th Ave S,AL,,,USA,USA
Chainwheel Inc.,Little Rock,(501) 224-7651,72227,10300 N Rodney Parham Rd  Little Rock,AR,,,USA,USA
Competitive Cyclist,North Little Rock,(501) 663-8796,72118,5050 Northshore Lane,AR,,,USA,USA
Parkside Cycle,Hot Springs,(501) 623-6188,71901,719 Whittington Avenue,AR,,,USA,USA
Fairwheel Bicycles,Tucson,(520) 884-9018,85719,1110 East 6th Street,AZ,,,USA,USA
DNA Cycles,Mesa,(480) 924-2453,85215,2031 N. Power Rd. Suite 101,AZ,,,USA,USA
Cahaba Cycles,Pelham,(205) 987-4043,35124,2271 Pelham Parkway,AL,,,USA,USA
Hurricane Creek Park,Vinemont,(256) 734-2125,35179,22600 Highway 31 North,AL,,,USA,USA
EPIC BIKING,Saratoga Springs,(801) 653-2039,84045,1306 N Redwood Rd,UT,,,USA,USA
Revolution Bicycles,Sandy,(801) 233-1400,84070,8714 South 700 East,UT,,,USA,USA
REI Salt Lake City,Salt Lake City,(801) 486-2100,84109,3285 East 3300 South,UT,,,USA,USA
REI Sandy,Sandy,(801) 501-0850,84070,10600 S Ste 1700,UT,,,USA,USA
Decker's Bicycle,Price,(435) 637-0086,84501,77 East Main Street,UT,,,USA,USA
Bicycle Shop Inc,Anchorage,(907) 272-5219,99503,1035 W. Northern Lights,AK,,,USA,USA
Speedway Cycles,Anchorage,(907) 222-1967,99503,2600 Spenard Road,AK,,,USA,USA
REI Anchorage,Anchorage,(907) 272-4565,99503,1200-a W Northern Lights Blvd,AK,,,USA,USA
Trailhead Inc,Huntsville,(256) 534-1333,35801,604 Andrew Jackson Way Northeast,AL,,,USA,USA
Miles Ahead Cyclery,Tucson,(520) 751-0555,85715,7000 E Tanque Verde Rd,AZ,,,USA,USA
Landis Cyclery,Phoenix,(602) 264-5681,85013,712 West Indian School Road,AZ,,,USA,USA
Sabino Cycles,Tucson,(520) 885-3666,85715,7045 E Tanque Verde Road,AZ,,,USA,USA
Paco's Truckee River,Truckee,(530) 587-5561,96161,11200-6 Donner Pass Rd,CA,,,USA,USA
THE PATH BIKE SHOP,Tustin,(714) 669-0784,92780,215 West First Street #102,CA,,,USA,USA
Jenson USA,Riverside,(909) 947-9036,92507,1615 Eastridge Avenue,CA,,,USA,USA
Rock N' Road Cyclery,Lake Forest,(949) 916-9348,92630,20381 Lake Forest Dr. Suite B13,CA,,,USA,USA
Incycle,San Dimas,(909) 592-2181,91773,561 West Arrow Highway,CA,,,USA,USA
Bicycle Trip,Santa Cruz,(831) 427-2580,95062,1001 Soquel Avenue,CA,,,USA,USA
La Dolce Velo,San Jose,(408) 244-8356,95126,1280 The Alameda,CA,,,USA,USA
Big Swingin Cycles,San Francisco,(415) 441-6294,94109,2260 Van Ness Avenue,CA,,,USA,USA
REI Tempe,Tempe,(480) 967-5494,85282,1405 W Southern Ave,AZ,,,USA,USA
REI Paradise Valley,Phoenix,(602) 996-5400,85032,12634 N Paradise Village Pkwy,AZ,,,USA,USA
Two Wheel Jones,Mesa,(480) 380-8222,85209,1917 S Signal Butte Rd #105,AZ,,,USA,USA
Surprise Bicycles,Surprise,(623) 933-8695,85374,12875 W. Bell Rd,AZ,,,USA,USA
Rage Cycles,Scottsdale,(480) 968-8116,85257,2724 North Scottsdale Road,AZ,,,USA,USA
Trailhead Bike Cafe,Phoenix,(602) 264-2328,85016,6825 North 16th Street A9,AZ,,,USA,USA
Arizona Bicycle,Tucson,(520) 881-2279,85716,2520 East 6th Street,AZ,,,USA,USA
Adventure Bicycle Co,Mesa,(480) 649-3394,85204,2336 E Baseline Rd,AZ,,,USA,USA
Airpark Bicycle,Scottsdale,(480) 596-6633,85255,8388 E Hartford Dr #100,AZ,,,USA,USA
Ajo Bikes,Tucson,(520) 294-1434,85713,1301 E Ajo Way,AZ,,,USA,USA
Absolute Bikes,Flagstaff,(928) 779-5969,86001,200 East Route 66,AZ,,,USA,USA
Orange 20 Bikes,Los Angeles,(323) 662-4537,90029,4351 Melrose Ave.,CA,,,USA,USA
REI Tucson,Tucson,(520) 887-1938,85705,160 W Wetmore Road,AZ,,,USA,USA
Bicycles Unlimited,St. George,(435) 673-4492,84770,90 South 100 East,UT,,,USA,USA
Lake Town Bicycles,West Jordan,(801) 432-2995,84088,1520 West 9000 South Suite C,UT,,,USA,USA
Poison Spider,Moab,(800) 635-1792,84532,497 N Main St,UT,,,USA,USA
Dave's Discount Motors,South  Draper,(801) 619-0235,84020,228 West 12300,UT,,,USA,USA
Millcreek Bicycles,Cottonwood,801-278-1500,84121,2428 Catalina Dr,UT,,,USA,USA
Bike Peddler,American Fork,(801) 756-5014,84003,24 East Main Street,UT,,,USA,USA
Timpanogos Cyclery,Pleasant Grove,(801) 796-7500,84062,665 West State Road Suite A,UT,,,USA,USA
Al's Sporting Goods,Logan,(435) 752-5151,84341,1617 N Main St,UT,,,USA,USA
Infinite Cycles,Riverton,(801) 523-8268,84065,3818 W 13400 S,UT,,,USA,USA
Moab Cyclery,Moab,(800) 559-1978,84532,391 South Main Street,UT,,,USA,USA
Bike Shoppe,Ogden,(801) 476-1600,84403,4390 South Washington Boulevard,UT,,,USA,USA
Greyhair Bike Repair,Green River,,82935,1500 N Riverbend Dr,WY,,,USA,USA
Cyclesmith,Salt Lake City,(801) 582-9870,84102,250 South 1300 East,UT,,,USA,USA
Performance Bike Parts,Salt Lake City,(801) 638-1687,84107,731 Pontiac Drive,UT,,,USA,USA
Contender Bicycles,????Salt Lake City,(801) 364-0344,84105,875 East 900 South,UT,,,USA,USA
Uranium Bicycles,Moab,(435) 259-2928,84532,284 N Main St,UT,,,USA,USA
Joyride Bikes,Logan,(435) 753-7175,84321,65 S. Main St,UT,,,USA,USA
Taylors Bike Shop,Taylorsville,(801) 969-4995,84118,3269 West 5400 South,UT,,,USA,USA
Skyline Cycle,Ogden,(801) 394-7700,84404,834 Washington Blvd,UT,,,USA,USA
Needles Peak,Morgan,(801) 876-386,84050,498 W Sherrie St,UT,,,USA,USA
Fishers Cyclery,Salt Lake City,(801) 466-3971,84106,2175 South 900 East,UT,,,USA,USA
Guthrie Bike,Salt Lake City,(801) 484-0404,84106,800 E 2100 S,UT,,,USA,USA
The Bike Shoppe,Ogden,(801) 476-1600,84403,4390 South Washington Boulevard,UT,,,USA,USA
Taylors Bike Shop,Riverton,(801) 253-1881,84065,2600 West 12600 South,UT,,,USA,USA
Taylors Bike Shop,Provo,(801) 377-8044,84604,1520 N Freedom Blvd,UT,,,USA,USA
STAATS,Sandy,(801) 943-8502,84093,2063 E 9400 S,UT,,,USA,USA
White Pine Touring,Kamas,(435) 783-6770,84036,138 West 280 South,UT,,,USA,USA
Canfield Brothers,Layton,(801) 548-2556,84041,2313 N. 500 W. Layton,UT,,,USA,USA
SBR Sports,Orem,(801) 225-0076,84057,149 W 400 N,UT,,,USA,USA
Racers Cycle Service,Provo,(801) 375-5873,84601,159 West 500 North,UT,,,USA,USA
Chile Pepper Bike Shop,Moab,(435) 259-4688,84532,702 South Main St,UT,,,USA,USA
Go-Ride,Salt Lake City,(801) 474-0081,84115,3232 South 400 East #300,UT,,,USA,USA
Bikers Edge,Kaysville,(801) 544-5300,84037,232 North Main Street,UT,,,USA,USA
Hyland Cyclery,Salt Lake City,(801) 467-0914,84106,3040 Highland Drive,UT,,,USA,USA
Millcreek Bicycles,Salt Lake City,(801) 278-1500,84124,3969 South Wasatch Blvd,UT,,,USA,USA
Wild Rose,Salt Lake City,(801) 533-8671,84103,702 3rd Avenue,UT,,,USA,USA
Canyon Bicycles,South  Draper,(801) 576-8844,84020,762 East 12300,UT,,,USA,USA
Sundance Resort,Sundance,(801) 225-4107,84604,8841 Alpine Loop Road,UT,,,USA,USA
Bountiful Bicycle,Bountiful,(801) 295-6711,84010,2482 South Main Street,UT,,,USA,USA
REI Santa Rosa,Santa Rosa,(707) 540-9025,95407,2715 Santa Rosa Avenue,CA,,,USA,USA
REI Santa Monica,Santa Monica,(310) 458-4370,90401,402 Santa Monica Blvd.,CA,,,USA,USA
REI Stockton,Stockton,(209) 957-9479,95207,"5757 Pacific Avenue, Suite A105",CA,,,USA,USA
REI San Francisco,San Francisco,(415) 934-1938,94103,840 Brannan St,CA,,,USA,USA
REI San Diego,San Diego,(858) 279-4400,92111,5556 Copley Drive,CA,,,USA,USA
REI Roseville,Roseville,(916) 724-6750,95678,1148 Galleria Blvd.,CA,,,USA,USA
REI Rancho Cucamonga,Rancho Cucamonga,(909) 646-8360,91739,12218 Foothill Blvd,CA,,,USA,USA
REI Northridge,Northridge,(818) 831-5555,91324,18605 Devonshire St.,CA,,,USA,USA
REI Mountain View,Mountain View,(650) 969-1938,94043,2450 Charleston Rd.,CA,,,USA,USA
REI Marina,Marina,(831) 883-8048,93933,145 General Stilwell Drive,CA,,,USA,USA
REI Chula Vista,Chula Vista,(619) 591-4924,91915,2015 Birch Rd # 150,CA,,,USA,USA
REI Concord,Concord,(925) 825-9400,94520,1975 Diamond Blvd. Suite B-100,CA,,,USA,USA
REI Corte Madera,Corte Madera,(415) 927-1938,94925,213 Corte Madera Town Center,CA,,,USA,USA
REI Encinitas,Encinitas,(760) 944-9020,92024,1590 Leucadia Blvd.,CA,,,USA,USA
REI Folsom,Folsom,(916) 817-8944,95630,2425 Iron Point Rd,CA,,,USA,USA
REI Fremont,Fremont,(510) 651-0305,94538,43962 Fremont Blvd,CA,,,USA,USA
REI Fresno,Fresno,(559) 261-4168,93720,7810 N. Blackstone Ave.,CA,,,USA,USA
REI Manhattan Beach,Manhattan Beach,(310) 727-0728,90266,1800 Rosecrans Ave. Bldg. E,CA,,,USA,USA
All Pro Bicycles,Simi Valley,(805) 583-4296,93063,2381 Tapo Street,CA,,,USA,USA
Art's Cyclery,San Luis Obispo,(805) 540-7969,93401,181 Suburban Road,CA,,,USA,USA
Best Bike Zone,Paso Robles,(805) 237-2453,93446,712 Paso Robles St,CA,,,USA,USA
Fun Sport Bikes,Modesto,(209) 523-2700,95350,1700 Mchenry Ave # 10,CA,,,USA,USA
Krakatoa Bikes,Fairfax,(415) 453-0333,94930,42 Bolinas Rd,CA,,,USA,USA
Echelon Cycle & Multisport,Santa Rosa,(707) 528-1133,95401,125 Fifth St.,CA,,,USA,USA
Lombardi Sports,San Francisco,(415) 771-0600,94109,1600 Jackson Street,CA,,,USA,USA
Pedal Pushers Cyclery,Golden,(303) 365-2453,80401,2401 Ford Street,CO,,,USA,USA
Louisville Cyclery,Louisville,(303) 665-6343,80027,1032 E South Boulder Rd,CO,,,USA,USA
Paragon Ski & Sport,Telluride,(970) 728-4581,81435,217 W Colorado Ave,CO,,,USA,USA
REI Huntington Beach,Huntington Beach,(714) 379-1938,92647,7777 Edinger Ave  Ste 138,CA,,,USA,USA
The Bike Barn,Davis,,95616,TB 24 The Barn One Shields Ave.,CA,,,USA,USA
River Rat,Fair Oaks,(916) 966-6777,95628,4053 Pennsylvania Avenue,CA,,,USA,USA
Coates Cyclery,Pomona,(909) 624-0612,91767,760 East Foothill Boulevard,CA,,,USA,USA
Finish Line,Bakersfield,(661) 833-6268,93311,"8850 Stockdale Hwy, Ste 100",CA,,,USA,USA
Laguna Beach Cyclery,Laguna Beach,(949) 494-1522,92651,240 Thalia Street,CA,,,USA,USA
Main Street Cycles,Santa Maria,(805) 922-5577,93454,311 East Main Street,CA,,,USA,USA
Newbury Park Bicycle Shop,Newbury Park,(805) 498-7714,91320,1560 Newbury Rd # 6,CA,,,USA,USA
Newhall Bicycle Company,Newhall,(661) 284-6187,91321,24261 1/2 Main St,CA,,,USA,USA
Peak Adventures,Sacramento,(916) 278-6321,95826,6000 J St,CA,,,USA,USA
Pedal Power Bicycles,Santa Maria,(805) 349-2294,93454,1740 South Broadway,CA,,,USA,USA
REI San Carlos,San Carlos,(650) 508-2330,94070,1119 Industrial Rd Ste A,CA,,,USA,USA
REI Brentwood,Brentwood,(925) 516-3540,94513,2475 Sand Creek Road  Suite 100,CA,,,USA,USA
Bicycle John's,Agoura Hills,(818) 597-8330,91301,29041 E Thousand Oaks Blvd,CA,,,USA,USA
Ray's Cycle,Vacaville,(707) 448-1911,95688,400 Main Street,CA,,,USA,USA
Velobum Elite Cyclery,Rancho Mirage,(760) 341-2463,92270,71430 Highway 111,CA,,,USA,USA
Encina Bicycle,Walnut Creek,(925) 944-9200,94598,2901 Ygnacio Valley Rd,CA,,,USA,USA
Adventure's Edge,Arcata,(707) 822-4673,95521,650 10th Street,CA,,,USA,USA
Crossroads Bicycles,Los Gatos,(408) 354-0555,95030,217 N Santa Cruz Ave # C,CA,,,USA,USA
Willow Glen Bicycles,San Jose,(408) 923-2606,95125,1016 Lincoln Ave,CA,,,USA,USA
Jax Bicycle Center,Irvine,(949) 733-1212,92604,14280 Culver Drive,CA,,,USA,USA
Freewheel Bike Shop,San Francisco,(415) 643-9213,94110,"3288 21st St, Box 11",CA,,,USA,USA
Surf City Cyclery,Huntington Beach,(714) 842-1717,92647,7470 Edinger Ave,CA,,,USA,USA
Comcycle USA,San Clemente,(949) 492-0111,92673,946 Calle Amanecer,CA,,,USA,USA
Riders Pro Shop,West Sacramento,,95798,3901 Commerce Drive,CA,,,USA,USA
Cambria Bicycle Outfitter,Cambria,(805) 926-2230,93428,1602 Main St,CA,,,USA,USA
Cyclepath Bicycles,Fresno,(559) 434-8356,93720,1165 E Champlain Dr,CA,,,USA,USA
Sharp Bicycle,Roseville,(916) 797-8894,95678,701 Pleasant Grove Blvd # 190,CA,,,USA,USA
Calfee Design,La Selva Beach,(831) 728-1859,95076,783 San Andreas Road,CA,,,USA,USA
Cycle City,Alameda,(510) 521-2872,94501,1433 High Street,CA,,,USA,USA
Fun Sport Bikes,Modesto,(209) 523-2700,95350,1700 Mchenry Ave # 10,CA,,,USA,USA
Sharp Bicycle,Lafayette,(925) 284-9616,94549,969 Moraga Road,CA,,,USA,USA
REI Arcadia,Arcadia,(626) 447-1062,91006,214 N. Santa Anita Ave,CA,,,USA,USA
REI Tustin,Tustin,(714) 505-0205,92782,2962 El Camino Real,CA,,,USA,USA
REI Saratoga,San Jose,(408) 871-8765,95130,El Paseo De Saratoga,CA,,,USA,USA
REI Sacramento,Sacramento,(916) 924-8900,95815,1790 Expo Parkway,CA,,,USA,USA
REI Berkeley,Berkeley,(510) 527-4140,94702,1338 San Pablo Ave,CA,,,USA,USA
VERT Scooter Shop,Long Beach,(562) 421-1979,90808,3066 N Greenbrier Road,CA,,,USA,USA
Cranky's Bike Shop,Fountain Valley,(714) 594-3228,92708,10625 Ellis Avenue,CA,,,USA,USA
Action Sports,Bakersfield,(661) 833-4000,93312,9500 Brimhall Road # 400,CA,,,USA,USA
Adrenaline Bikes,Orange,(714) 288-2012,92866,366 S Tustin St,CA,,,USA,USA
Scooter Zone,Riverside,(951) 343-0222,92505,10407 Arlington Avenue,CA,,,USA,USA
Bent Up Cycles,Van Nuys,(818) 358-2740,91406,7828 Balboa Blvd,CA,,,USA,USA
Chico Sports,Chico,(530) 894-1110,95926,698 Mangrove Ave,CA,,,USA,USA
Westlake Cyclery,Thousand Oaks,(805) 497-3030,91361,3195 Willow Ln # B,CA,,,USA,USA
Sunset Bikes,Carlsbad,(619) 997-7772,92009,6456 Pyrus Place,CA,,,USA,USA
UC Cyclery,La Jolla,(858) 452-8842,92037,8715 Villa La Jolla Dr # B,CA,,,USA,USA
Chain Gang Bike Shop,Redding,(530) 243-9951,96001,1540 Division Street,CA,,,USA,USA
Pat's 605 Cyclery,Norwalk,(562) 864-0740,90650,12310 Studebaker Rd,CA,,,USA,USA
Racers Edge,Boca Raton,(561) 416-9433,33431,2170 North Dixie Highway,FL,,,USA,USA
C&E Trading Of Miami,Doral,(305) 653-3751,33178,11350 Nw 53rd Lane,FL,,,USA,USA
Coral Way Bicycle,Miami,(305) 856-5731,33145,2237 Coral Way,FL,,,USA,USA
Higher Ground,Tallahassee,(850) 942-2453,32308,2819 Mahan Dr # 108,FL,,,USA,USA
Maggie Roses Bike Shop,Jacksonville,(904) 636-0544,32217,8650 Old Kings Road South Suite #8,FL,,,USA,USA
AJ's Bikes & Boards,Valrico,(813) 685-2453,33596,1538 Bloomingdale Ave,FL,,,USA,USA
Downtown Bicycles,Fort Lauderdale,(954) 761-9920,33304,2571 East Sunrise Boulevard,FL,,,USA,USA
Re Cycle Bicycle Sales & Repair,Key West,(305) 294-7433,33040,5160 Us Highway 1,FL,,,USA,USA
Great Bicycle Shop,Tallahassee,(850) 224-7461,32303,1909 Thomasville Rd,FL,,,USA,USA
RAS Race Specialties,Palm Harbor,(727) 288-6998,34683,1045 Georgia Ave,FL,,,USA,USA
Orange Cycle Works,Orlando,(407) 422-5552,32804,2204 Edgewater Dr,FL,,,USA,USA
Big Wheel Bicycles,Hollywood,(954) 966-5545,33024,7035 Taft Street,FL,,,USA,USA
Winter Garden Wheel Works,Winter Garden,(407) 654-1496,34787,101 West Plant Street,FL,,,USA,USA
Village Bikes,Sarasota,(941) 366-7702,34239,3898 South Osprey Avenue,FL,,,USA,USA
Champion Cycling and Fitness,Jacksonville,(904) 724-4922,32211,1025 Arlington Rd N,FL,,,USA,USA
Alex's Bicycle Pro Shop,Davie,(954) 990-0836,33325,11466 W State Road 84,FL,,,USA,USA
Z's Bike & Fitness,Davie,(954) 888-9030,33330,4401 S FLAMINGO RD # 107,FL,,,USA,USA
Bike Tech,Miami,(305) 261-1211,33155,7252 Southwest 40th Street,FL,,,USA,USA
City Cycle,Jacksonville,(904) 356-2453,32205,2740 Park St,FL,,,USA,USA
J & R Bicycles,Largo,(727) 545-1580,33777,7000 Bryan Dairy Rd # B1,FL,,,USA,USA
Modern Bike,Des Moines,(515) 263-2000,50313,1515 E Euclid Ave,IA,,,USA,USA
Rasmussen Bike Shop,West Des Moines,(515) 277-2636,50265,301 Grand Avenue,IA,,,USA,USA
Island Triathlon & Bike,Honolulu,(808) 732-7227,96815,569 Kapahulu Avenue,HI,,,USA,USA
